"","SiteID","PlotID","Biomass","new.names","GS_1C_mean","G_group"
"100",60,6001,15.53,"Agropyron cristatum",6.84,"Large"
"101",59,5908,27.26,"Agropyron cristatum",6.84,"Large"
"102",52,5204,30.43,"Agropyron cristatum",6.84,"Large"
"103",33,3310,4.56,"Agropyron cristatum",13.26,"Large"
"104",57,5708,12.05,"Agropyron cristatum",6.84,"Large"
"105",55,5506,16.12,"Agropyron cristatum",6.84,"Large"
"106",48,4810,16.25,"Agropyron cristatum",13.26,"Large"
"107",31,3109,0.06,"Agropyron cristatum",13.26,"Large"
"108",58,5807,10.94,"Agropyron cristatum",6.84,"Large"
"109",59,5910,31.88,"Agropyron cristatum",6.84,"Large"
"110",64,6405,5.34,"Agropyron cristatum",6.84,"Large"
"111",60,6006,27.06,"Agropyron cristatum",6.84,"Large"
"112",45,4508,28.79,"Agropyron cristatum",13.26,"Large"
"113",45,4503,0.32,"Agropyron cristatum",13.26,"Large"
"114",59,5907,33.76,"Agropyron cristatum",6.84,"Large"
"115",1,102,3.48,"Agropyron cristatum",13.26,"Large"
"116",43,4308,1.5,"Agropyron cristatum",13.26,"Large"
"117",53,5309,40.97,"Agropyron cristatum",6.84,"Large"
"118",1,107,0.15,"Agropyron cristatum",13.26,"Large"
"119",45,4510,19.01,"Agropyron cristatum",13.26,"Large"
"120",4,407,13.28,"Agropyron cristatum",13.26,"Large"
"121",42,4209,18.26,"Agropyron cristatum",13.26,"Large"
"122",55,5504,5.58,"Agropyron cristatum",6.84,"Large"
"123",59,5904,2.01,"Agropyron cristatum",6.84,"Large"
"124",49,4902,12.35,"Agropyron cristatum",13.26,"Large"
"125",57,5704,82.54,"Agropyron cristatum",6.84,"Large"
"126",55,5507,26.68,"Agropyron cristatum",6.84,"Large"
"127",57,5707,19.32,"Agropyron cristatum",6.84,"Large"
"128",59,5903,33.87,"Agropyron cristatum",6.84,"Large"
"129",52,5206,0.32,"Agropyron cristatum",6.84,"Large"
"130",58,5803,19.34,"Agropyron cristatum",6.84,"Large"
"131",32,3205,0.31,"Agropyron cristatum",13.26,"Large"
"132",2,205,9.74,"Agropyron cristatum",13.26,"Large"
"133",53,5305,3.75,"Agropyron cristatum",6.84,"Large"
"134",1,101,4.57,"Agropyron cristatum",13.26,"Large"
"135",60,6003,21.48,"Agropyron cristatum",6.84,"Large"
"136",32,3203,0.49,"Agropyron cristatum",13.26,"Large"
"137",43,4306,4.63,"Agropyron cristatum",13.26,"Large"
"138",2,202,11.83,"Agropyron cristatum",13.26,"Large"
"139",4,408,3.9,"Agropyron cristatum",13.26,"Large"
"140",33,3307,16.32,"Agropyron cristatum",13.26,"Large"
"141",57,5710,18.62,"Agropyron cristatum",6.84,"Large"
"142",33,3303,0.06,"Agropyron cristatum",13.26,"Large"
"143",2,203,8.49,"Agropyron cristatum",13.26,"Large"
"144",49,4905,47.6,"Agropyron cristatum",13.26,"Large"
"145",1,108,2.84,"Agropyron cristatum",13.26,"Large"
"146",53,5303,42.75,"Agropyron cristatum",6.84,"Large"
"147",44,4402,4.28,"Agropyron cristatum",13.26,"Large"
"148",48,4801,3.21,"Agropyron cristatum",13.26,"Large"
"149",58,5806,0.49,"Agropyron cristatum",6.84,"Large"
"150",59,5909,7.75,"Agropyron cristatum",6.84,"Large"
"151",33,3308,2.9,"Agropyron cristatum",13.26,"Large"
"152",52,5205,28.13,"Agropyron cristatum",6.84,"Large"
"153",32,3201,5.21,"Agropyron cristatum",13.26,"Large"
"154",31,3107,2.64,"Agropyron cristatum",13.26,"Large"
"155",31,3103,2.27,"Agropyron cristatum",13.26,"Large"
"156",49,4906,2.2,"Agropyron cristatum",13.26,"Large"
"157",45,4509,2.54,"Agropyron cristatum",13.26,"Large"
"158",52,5201,11.3,"Agropyron cristatum",6.84,"Large"
"159",2,210,6.3,"Agropyron cristatum",13.26,"Large"
"160",54,5409,14.52,"Agropyron cristatum",6.84,"Large"
"161",48,4803,46.89,"Agropyron cristatum",13.26,"Large"
"162",53,5302,48.65,"Agropyron cristatum",6.84,"Large"
"163",61,6103,0.61,"Agropyron cristatum",6.84,"Large"
"164",31,3106,3.58,"Agropyron cristatum",13.26,"Large"
"165",60,6008,9.6,"Agropyron cristatum",6.84,"Large"
"166",51,5106,1.35,"Agropyron cristatum",6.84,"Large"
"167",60,6010,2.81,"Agropyron cristatum",6.84,"Large"
"168",51,5105,117.58,"Agropyron cristatum",6.84,"Large"
"169",32,3202,2.62,"Agropyron cristatum",13.26,"Large"
"170",43,4310,4.84,"Agropyron cristatum",13.26,"Large"
"171",61,6110,24.73,"Agropyron cristatum",6.84,"Large"
"172",2,207,3.31,"Agropyron cristatum",13.26,"Large"
"173",57,5709,9.01,"Agropyron cristatum",6.84,"Large"
"174",2,206,7.92,"Agropyron cristatum",13.26,"Large"
"175",43,4301,5.46,"Agropyron cristatum",13.26,"Large"
