"","SiteID","Agriophyllum squarrosum","Alhagi sparsifolia","Amaranthus retroflexus","Androsace umbellata","Artemisia argyi","Artemisia capillaris","Artemisia pubescens","Artemisia scoparia","Astragalus adsurgens","Astragalus galactites","Astragalus melilotoides","Astragalus scaberrimus","Axyris amaranthoides","Bassia dasyphylla","Bassia prostrata","Bupleurum scorzonerifolium","Calystegia sepium","Cannabis sativa","Caragana microphylla","Caragana stenophylla","Cardamine hirsuta","Carex korshinskyi","Carex pediformis","Carex stenocarpa","Chamaerhodos erecta","Chenopodium acuminatum","Chenopodium glaucum","Chloris virgata","Cirsium arvense","Cleistogenes songorica","Cleistogenes squarrosa","Convolvulus ammannii","Cymbaria daurica","Cymbaria mongolica","Cynanchum thesioides","Digitaria ischaemum","Digitaria sanguinalis","Dontostemon dentatus","Dysphania aristata","Echinochloa crus-galli","Eragrostis pilosa","Erodium stephanianum","Galium verum","Gentiana scabra","Gentiana squarrosa","Geranium wilfordii","Glycyrrhiza uralensis","Gueldenstaedtia verna","Haplophyllum dauricum","Heteropappus altaicus","Ixeris polycephala","Kalimeris hispida","Lappula myosotis","Leonurus japonicus","Lepidium apetalum","Lespedeza bicolor","Lespedeza potaninii","Linaria vulgaris","Medicago falcata","Medicago ruthenica","Nepeta cataria","Nepeta tenuifolia","Nitraria tangutorum","Oxytropis aciphylla","Oxytropis alpina","Oxytropis fetissovii","Oxytropis leptophylla","Parthenocissus tricuspidata","Peganum harmala","Pennisetum glaucum","Phragmites australis","Plantago asiatica","Poa annua","Portulaca oleracea","Potentilla acaulis","Potentilla anserina","Potentilla chinensis","Potentilla multifida","Potentilla tanacetifolia","Potentilla verticillaris","Reaumuria soongarica","Rumex acetosella","Salsola collina","Salsola passerina","Sanguisorba officinalis","Saposhnikovia divaricata","Scutellaria baicalensis","Scutellaria ovata","Serratula centauroides","Setaria viridis","Sibbaldia procumbens","Sibbaldianthe bifurca","Silene conoidea","Sphallerocarpus gracilis","Stellaria media","Stellera chamaejasme","Stipa breviflora","Stipa grandis","Stipa krylovii","Stipa purpurea","Stipa sibirica","Stipa tianschanica","Suaeda glauca","Suaeda maritima","Taraxacum mongolicum","Thalictrum aquilegiifolium","Thalictrum petaloideum","Thalictrum squarrosum","Thermopsis lanceolata","Thymus mongolicus","Trachydium tianshanicum","Tribulus terrestris","Trifolium lupinaster","Urtica fissa","Veronica polita","Xanthium strumarium","Zygophyllum xanthoxylon","NA"
"11","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.346666666666667,0,0,0,0,0,0,0,0,0,1.07285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20666666666667,0,0,2.745,0,0,0,0,0,1.79,0,0,0,0,0,0,0.982,0,0,0,0,0,1.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","26",0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.445,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,5.06333333333333,0,0,0,0,0,0,0,0,0,0.898888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.802,0,0,3.39666666666667,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.52,8.505,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0
"14","27",0,0,0,0,0,0,0,0.46,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,2.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11166666666667,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,15.951,0,0,2.4966,0,0,0,0,0,2.125,0,0,0,0,0,0,0.484,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.363333333333333,0,0,0,0,0,0
"15","28",0.04,0,0,0,0,0,0,0.253333333333333,0,0,0,0,0,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29625,0,0,0,0,0,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.22,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,16.536,0,0.82,2.39,0,0,0,0,0,0,0,0,0,0,0,0,4.52285714285714,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,2.68,0,0,0,0,18.36,0
"16","29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.655,0.26,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,7.801,0,0,5.004,0,0,0,0,0,0,0,0,0,0,0,0,4.794,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","30",0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0,0,0.32,0,0,0,0,0.85,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0.34,0,1.04,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.536,0,0,5.40555555555556,0,0,0,0,0,0,0,0,0,0,0,0,6.65375,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","31",0,0,0,0,0,0,1.97,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,2.155,0,0,0,0,0,0,0,0,0,0.313333333333333,0,0,0,0,0,0,0,0,0,0,1.305,0,0,0,0,0,0,0,0,0,0,0,6.635,0,0,0,0,1.645,0,0,0,0,0,0,0,0,0,0,0,4.265,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,32.773,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","32",0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94714285714286,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,22.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0
"20","33",0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0.886666666666667,0,0,0,0,0,0,0,0,0,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
