"","SiteID","Adenophora stenanthina","Adenophora stricta","Agropyron cristatum","Agropyron desertorum","Agropyron michnoi","Agrostis clavata","Allium anisopodium","Allium bidentatum","Allium mongolicum","Allium polyrhizum","Allium ramosum","Allium tenuissimum","Androsace longifolia","Anemarrhena asphodeloides","Anemone chinensis","Artemisia desertorum","Artemisia dracunculus","Artemisia frigida","Artemisia sieversiana","Artemisia tanacetifolia","Artemisia vulgaris","Asparagus cochinchinensis","Astragalus arbuscula","Astragalus propinquus","Bromus inermis","Bromus japonicus","Bupleurum longiradiatum","Calamagrostis epigejos","Calligonum mongolicum","Calystegia hederacea","Clematis florida","Convolvulus arvensis","Elymus dahuricus","Elymus kamoji","Ephedra sinica","Festuca ovina","Filifolium sibiricum","Gypsophila davurica","Hemerocallis citrina","Iris dichotoma","Iris lactea","Iris tectorum","Iris tenuifolia","Koeleria pyramidata","Krascheninnikovia ceratoides","Leymus chinensis","Leymus secalinus","Neopallasia pectinata","Polygonum divaricatum","Polygonum sibiricum","Pulsatilla turczaninovii","Saussurea japonica","Scorzonera austriaca","Silene aprica","Vicia amoena","Vicia sepium","Vicia unijuga"
"20","38",0,0,0,0,0,0,0,0,10.455,10.3116666666667,7.95,0.46,0,0,0,0,0,3.91333333333333,0,0,0,3.55,0,0,0,0,0,0,5.91,1.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
"21","39",0,0,0,0,0,0,0,0,1.325,7.958,0,0,0,0,0,0,0,2.64,0,0,0,0.64,0,0,0,0,0,0,0,18.4333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.445,0,0,0,0,0,0,0,0,0,0,0,0
"22","40",0,0,0,8.76,0,0,0,0,3.72125,3.19,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0.44,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","41",0,0,0,0,0,0,0,0,3.74166666666667,9.27,0,0.32,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3055555555556,0,0,0,0,0,0,0,0,0
"24","42",0,0,18.26,0,0,0,0,0.32,6.196,22.2125,0,0.85,1.06,0,0,0,0,1.61,0,0,0,1.28666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7075,0,0,0,0,0,0,0,0,0
"25","43",0,0,7.683,0,0,0,0,2.065,1.58428571428571,0,1.78,1.75,0,0,0,0,0,4.20222222222222,0,0,0,1.60428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,1.035,0,0,0,0,0.6075,0,0,0,0,0,0,0,0,0
"26","44",0,0,2.465,0,0,0,0,1.385,0,0,4.49,2.94333333333333,0,0,0,0,0,51.496,0,0,0,2.87714285714286,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.99,0,0.86,0,0,0,0,0,0,0,0,0
"27","45",0,0,15.0316666666667,0,0,0,0,1.92714285714286,0,0,1.482,0.42,0,0,0,0,0,0,0,0,0,0.633333333333333,0,0,0,0,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,4.31,0.47,0,0,25.983,0,0.77,0,0,0,0,0,0,0,0,0
"28","46",0,0,0,0,0,0,0,2.84,0.872,0,6.73,1.84285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3975,0,0.09,0,0,0,0,0,0,0,0,0
"29","47",0,0,0,0,0,0,0,1.00333333333333,1.44,0,0.255,0.525,0,0.654,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9516666666667,0,0,0,0,0,0,0,0,0,0,0
"30","48",4.988,4.13,25.108,0,70.92,0,0,8.21111111111111,0,0,0,4.05333333333333,0,19.3822222222222,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,1.97333333333333,0,0,0,0,4.24,0,19.805,11.79,0.35,0.77,1.3,0.78,5.571,0,44.935,18.58,0,3.335,0,0,0,0,0,0,0,0
"31","49",0,0,13.0183333333333,0,0,0,0.07,1.49857142857143,0,0,0,0.626666666666667,0,2.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15666666666667,0,0,0,0,0,0,1.17,1.60285714285714,0,19.6975,0,0,0,0,0,0,0,0,0,0,0
"32","50",0.3,0,0,0,0,0,0,7.35111111111111,0,0,0,3.36,8.42,2.15333333333333,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83875,0.98,0,1.02,0,0,0.85,0,8.16,0,53.696,1.54666666666667,0,0,0,0,0,0,0,0,0,0
"33","51",0,0,41.8633333333333,0,0,5.57,0.23,0.615,0,0,2.56,0.35,0,0,0,0,0,0,6.2425,0,1.35,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,2.03,0.4525,0.45,0,0,0,108.62,0,0,22.7711111111111,0,0,3.04,0.32,1.355,0,0.775,0.99
"34","52",1.28,1,19.028,0,0,0.96,0,1.02,0,0,8.04,0.435,0,0,1.135,0,5.2525,0,6.67,13.59,0,0.68,0,8.38,4.77,0,1.55,0,0,0,0,0,0,3.3,0,79.05,0.3,0,8.05,0,1.63,1.4,0,8.11285714285714,0,53.4666666666667,0,0,2.93,0,3.285,0,0,0,0,6.315,1.25
"35","53",0,0,41.4666666666667,0,0,0,1.34666666666667,5.305,0.765,0,0.67,1.42285714285714,0,0,0,0,0,31.2122222222222,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,4.99375,0,21.317,0,0,0,0,0,0,0,0.13,0,0,0
"36","54",0,0,16.7133333333333,0,0,0,1.9625,1.58,2.25,0,0.255,1.28571428571429,0,0.68,0,0,0,9.85166666666667,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,1.25,0,0,0.34,0.91,3.67,0.2,21.8442857142857,20.51,0,0,0,0,0,0,0,0,0,0
"37","55",0,0,16.27375,0,0,0,0.261666666666667,0,0,0,0.56,1.13,0,0,0,0,0,11.6714285714286,0,0,0,1.13,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,1.82666666666667,0,11.4233333333333,0,0.17,0,0,0,0,0,0,0,0,0
